date,prev_date,window,portfolio_value,realized_pnl_total,VaR_0.990_total,exception_total,realized_pnl_bonds,VaR_0.990_bonds,exception_bonds,realized_pnl_equities,VaR_0.990_equities,exception_equities,realized_pnl_fx,VaR_0.990_fx,exception_fx
2025-03-21,2025-03-20,500,247731932.24989852,3368649.7178204996,6075466.640491218,False,-255540.84107305354,487107.11181934935,False,-45841.174646806736,284803.9777881057,False,3670031.73354036,6290550.388362263,False
2025-03-28,2025-03-21,500,247544579.10721925,-2376050.9076111047,6076347.929075152,False,-150665.72856313086,483315.3493605728,False,-198249.37524784653,276283.44358888373,False,-2027135.8038001272,6290550.388362263,False
2025-03-31,2025-03-28,500,246375846.34311375,-147626.42301577816,6081395.312396693,False,-162805.41186494133,461095.1259793386,False,15178.988849163174,276283.44358888373,False,0.0,6290550.388362263,False
2025-04-01,2025-03-31,500,246241528.86101672,3927316.877553119,6082581.209396574,False,102715.68492774236,456656.5808960957,False,-237596.13173088426,276283.44358888373,False,4062197.3243562607,6290550.388362263,False
2025-04-02,2025-04-01,500,246398671.2856835,-1184293.7152095665,6081630.90341438,False,-92890.69687063602,460081.83465565305,False,141581.75372773106,276283.44358888373,False,-1232984.7720666616,6290550.388362264,False
2025-04-03,2025-04-02,500,246294977.92797107,-1760054.6341313347,6082506.941334161,False,-329674.84764971683,456597.4934141638,False,-228804.1412058729,276283.44358888373,False,-1201575.645275745,6290550.388362263,False
2025-04-04,2025-04-03,500,245958180.98660517,1215204.2004464774,6084683.6019330835,False,-257662.41706317943,447641.9983274784,False,-472092.26452565915,276283.44358888373,True,1944958.882035316,6290550.388362265,False
2025-04-07,2025-04-04,500,245733251.1628551,-368498.334107469,6086123.472914332,False,-310264.3142089164,442165.00320806296,False,-58234.01989855263,284803.9777881057,False,0.0,6290550.388362263,False
2025-04-08,2025-04-07,500,245491669.15814444,4020844.653726994,6088056.739388785,False,372838.5750904738,435614.5860001996,False,-224198.24151246264,284803.9777881057,False,3872204.320148983,6290550.388362263,False
2025-04-09,2025-04-08,500,245823241.41257173,-1935691.7034315313,6086452.552319463,False,-512171.1912088825,441905.8084477751,True,471420.9372312721,284803.9777881057,False,-1894941.449453921,6290550.388362263,False
2025-04-10,2025-04-09,500,244969998.54979572,2389247.2135210456,6089060.449478485,False,320260.36904505757,451134.23447995284,False,-68877.06414477702,284803.9777881057,False,2137863.908620765,6290550.388362263,False
2025-04-11,2025-04-10,500,245334030.96825594,-1169162.1707089297,6086790.200747869,False,341307.9349139241,458556.6560745592,False,252377.57607348962,284803.9777881057,False,-1762847.6816963435,6290550.388362263,False
2025-04-14,2025-04-11,500,245690851.81412095,-58632.62438915848,6084804.826615964,False,44046.32741473278,465561.9573553053,False,-102678.95180389126,284803.9777881057,False,0.0,6290550.388362263,False
2025-04-15,2025-04-14,500,245806851.21900836,-3199116.8156649875,6084383.6123437,False,-133925.83022011764,467023.36490921595,False,45165.55828962416,284803.9777881057,False,-3110356.543734494,6290550.388362263,False
